港澳台,#genre#
中天亚洲台,http://api.mytv666.top/api/hkhk.php?id=6230353962323532613838363830373564306164326137336138366430623435267469643d77696e74763132332669643d3738&auth=123
中天综合台,http://api.mytv666.top/api/hkhk.php?id=3136633239643731366133313732326436323336663339393265653333343361267469643d77696e74763132332669643d3737&auth=123
 三立都会台,http://api.mytv666.top/api/hkhk.php?id=3862326632383437333863303830376562326363383463336662343764366335267469643d77696e74763132332669643d3736&auth=123
 三立台湾台,http://api.mytv666.top/api/hkhk.php?id=3362333838663839386633393162343165396331313735636535396339356263267469643d77696e74763132332669643d3735&auth=123
 三立综合台,http://api.mytv666.top/api/hkhk.php?id=3936646366363234396664323161303363653066663833663737303632353639267469643d77696e74763132332669643d3734&auth=123
 东森电影台,http://api.mytv666.top/api/hkhk.php?id=3563613433653133623862616531376566383964346437653631326632353735267469643d77696e74763132332669643d3937&auth=123
 东森综合台,http://api.mytv666.top/api/hkhk.php?id=6234383261306531303263656431643161316166633036336366633037326530267469643d77696e74763132332669643d3936&auth=123
 东森超视,http://api.mytv666.top/api/hkhk.php?id=6137396363613066383538393561393837633835393039333966386335623666267469643d77696e74763132332669643d3935&auth=123
 MOMO综合台,http://api.mytv666.top/api/hkhk.php?id=6534356461633961306339376166393737383630616335393438323139666238267469643d77696e74763132332669643d3934&auth=123
 大爱一台,http://api.mytv666.top/api/hkhk.php?id=6639363336306536303062303837366439303262636632383665353264383264267469643d77696e74763132332669643d3931&auth=123
 大爱二台,http://api.mytv666.top/api/hkhk.php?id=3366313166356430383832646534323034303538323630396162306433663362267469643d77696e74763132332669643d3932&auth=123
 爱尔达体育1台,http://api.mytv666.top/api/hkhk.php?id=6530633633653239613832326664653336343864636464623933373564383237267469643d77696e74763132332669643d3836&auth=123
 爱尔达体育2台,http://api.mytv666.top/api/hkhk.php?id=6465613766636433643337373832333834303933613565636564633262316235267469643d77696e74763132332669643d3837&auth=123
 爱尔达体育3台,http://api.mytv666.top/api/hkhk.php?id=3437336137313432303661343830343032643863306138343935653963313765267469643d77696e74763132332669643d3838&auth=123
 爱尔达体育4台,http://api.mytv666.top/api/hkhk.php?id=6365383037626530323337343062646630353162326334353461333065303530267469643d77696e74763132332669643d3839&auth=123
